INPUT:image	INPUT:predict	OUTPUT:output	GOLDEN:output	HINT:text	ASSIGNMENT:link	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
https://storage.yandexcloud.net/plates/46378.jpg	МН007С23	МН007С23			https://toloka.yandex.ru/task/22889345/00015d4381--60687c72b0d2543d4ab095ce	00015d4381--60687c72b0d2543d4ab095ce	11d524a2bd15a081aefeb3d942ec9e36	APPROVED	2021-04-03T14:32:18.663
https://storage.yandexcloud.net/plates/14362.jpg		НЕ309953			https://toloka.yandex.ru/task/22889345/00015d4381--60687c72b0d2543d4ab095ce	00015d4381--60687c72b0d2543d4ab095ce	11d524a2bd15a081aefeb3d942ec9e36	APPROVED	2021-04-03T14:32:18.663
https://storage.yandexcloud.net/plates/41633.jpg		О080977			https://toloka.yandex.ru/task/22889345/00015d4381--60687c72b0d2543d4ab095ce	00015d4381--60687c72b0d2543d4ab095ce	11d524a2bd15a081aefeb3d942ec9e36	APPROVED	2021-04-03T14:32:18.663
https://storage.yandexcloud.net/plates/20008.jpg	Х575РС56	Х575РС56			https://toloka.yandex.ru/task/22889345/00015d4381--60687c72b0d2543d4ab095ce	00015d4381--60687c72b0d2543d4ab095ce	11d524a2bd15a081aefeb3d942ec9e36	APPROVED	2021-04-03T14:32:18.663
https://storage.yandexcloud.net/plates/46622.jpg		ВА139416			https://toloka.yandex.ru/task/22889345/00015d4381--60687c72b0d2543d4ab095ce	00015d4381--60687c72b0d2543d4ab095ce	11d524a2bd15a081aefeb3d942ec9e36	APPROVED	2021-04-03T14:32:18.663
https://storage.yandexcloud.net/plates/15704.jpg		А158946			https://toloka.yandex.ru/task/22889345/00015d4381--60687c72b0d2543d4ab095ce	00015d4381--60687c72b0d2543d4ab095ce	11d524a2bd15a081aefeb3d942ec9e36	APPROVED	2021-04-03T14:32:18.663
https://storage.yandexcloud.net/plates/control_tasks/2037_т444та66_т444та6_0.8459566235542297.jpg	Т444ТА6	Т444ТА66	Т444ТА66		https://toloka.yandex.ru/task/22889345/00015d4381--60687c72b0d2543d4ab095ce	00015d4381--60687c72b0d2543d4ab095ce	11d524a2bd15a081aefeb3d942ec9e36	APPROVED	2021-04-03T14:32:18.663
https://storage.yandexcloud.net/plates/10190.jpg		А151899			https://toloka.yandex.ru/task/22889345/00015d4381--60687c72b0d2543d4ab095ce	00015d4381--60687c72b0d2543d4ab095ce	11d524a2bd15a081aefeb3d942ec9e36	APPROVED	2021-04-03T14:32:18.663
https://storage.yandexcloud.net/plates/48282.jpg		У727ТВ47			https://toloka.yandex.ru/task/22889345/00015d4381--60687c72b0d2543d4ab095ce	00015d4381--60687c72b0d2543d4ab095ce	11d524a2bd15a081aefeb3d942ec9e36	APPROVED	2021-04-03T14:32:18.663
https://storage.yandexcloud.net/plates/3557.jpg		В345СТ05			https://toloka.yandex.ru/task/22889345/00015d4381--60687c72b0d2543d4ab095ce	00015d4381--60687c72b0d2543d4ab095ce	11d524a2bd15a081aefeb3d942ec9e36	APPROVED	2021-04-03T14:32:18.663
