url,answer
https://storage.yandexcloud.net/plates/30100.jpg,У004МУ30
https://storage.yandexcloud.net/plates/54865.jpg,М998МР77
https://storage.yandexcloud.net/plates/40585.jpg,К214МО57
https://storage.yandexcloud.net/plates/34801.jpg,Р142ХО26
https://storage.yandexcloud.net/plates/3061.jpg,А777КН67
https://storage.yandexcloud.net/plates/28234.jpg,К413МА05
https://storage.yandexcloud.net/plates/10575.jpg,Р693НА799
https://storage.yandexcloud.net/plates/62296.jpg,А074ВХ122
https://storage.yandexcloud.net/plates/49177.jpg,Х506РН77
https://storage.yandexcloud.net/plates/43605.jpg,Р868ВС05
https://storage.yandexcloud.net/plates/50247.jpg,О733ОО52
https://storage.yandexcloud.net/plates/48632.jpg,Е593ВХ799
https://storage.yandexcloud.net/plates/44328.jpg,Т449ТУ96
https://storage.yandexcloud.net/plates/35761.jpg,Т220КА174
https://storage.yandexcloud.net/plates/15253.jpg,Н458СС46
https://storage.yandexcloud.net/plates/21222.jpg,В168АК797
https://storage.yandexcloud.net/plates/60662.jpg,Т313МЕ31
https://storage.yandexcloud.net/plates/24698.jpg,Х144ХР96
https://storage.yandexcloud.net/plates/8855.jpg,К964КК154
https://storage.yandexcloud.net/plates/43068.jpg,О666КЕ123
https://storage.yandexcloud.net/plates/28259.jpg,А912КО134
https://storage.yandexcloud.net/plates/3509.jpg,К657ВВ39
https://storage.yandexcloud.net/plates/55393.jpg,О111ХУ777
https://storage.yandexcloud.net/plates/20615.jpg,А708МХ799
https://storage.yandexcloud.net/plates/30376.jpg,Х004ХК77
https://storage.yandexcloud.net/plates/61812.jpg,М760НК31
https://storage.yandexcloud.net/plates/26930.jpg,Р366МХ58
https://storage.yandexcloud.net/plates/63513.jpg,К568ХМ32
https://storage.yandexcloud.net/plates/3851.jpg,С444ОА190
https://storage.yandexcloud.net/plates/23091.jpg,А449НМ35
https://storage.yandexcloud.net/plates/14422.jpg,М057ММ72
https://storage.yandexcloud.net/plates/59207.jpg,Т973АВ199
https://storage.yandexcloud.net/plates/26401.jpg,Н177УА154
https://storage.yandexcloud.net/plates/63870.jpg,У741ОР98
https://storage.yandexcloud.net/plates/23086.jpg,Х159АМ65
https://storage.yandexcloud.net/plates/64567.jpg,Н742УС163
https://storage.yandexcloud.net/plates/61056.jpg,Х769ХХ90
https://storage.yandexcloud.net/plates/15903.jpg,С339КМ102
https://storage.yandexcloud.net/plates/13004.jpg,У237МХ52
https://storage.yandexcloud.net/plates/22393.jpg,Х192ЕК142
https://storage.yandexcloud.net/plates/38759.jpg,Т113ЕХ799
https://storage.yandexcloud.net/plates/60947.jpg,Н214ХУ68
https://storage.yandexcloud.net/plates/32163.jpg,О246ВР142
https://storage.yandexcloud.net/plates/2339.jpg,А500КТ142
https://storage.yandexcloud.net/plates/23224.jpg,В009ТТ150
https://storage.yandexcloud.net/plates/40247.jpg,7787АМ42
https://storage.yandexcloud.net/plates/27591.jpg,М777ММ39
https://storage.yandexcloud.net/plates/51378.jpg,М935ЕК196
