id,url,predict,accuracy
17297.jpg,https://storage.yandexcloud.net/plates/17297.jpg,К071СО82,0.9999352097511292
64135.jpg,https://storage.yandexcloud.net/plates/64135.jpg,АМ479568,0.9927880764007568
875.jpg,https://storage.yandexcloud.net/plates/875.jpg,,
48905.jpg,https://storage.yandexcloud.net/plates/48905.jpg,В999РС21,0.9999324679374696
43329.jpg,https://storage.yandexcloud.net/plates/43329.jpg,,
64542.jpg,https://storage.yandexcloud.net/plates/64542.jpg,Т984РР777,0.9999349117279052
25496.jpg,https://storage.yandexcloud.net/plates/25496.jpg,Т324РР33,0.999823272228241
19447.jpg,https://storage.yandexcloud.net/plates/19447.jpg,Е544ТЕ53,0.9999153017997742
1999.jpg,https://storage.yandexcloud.net/plates/1999.jpg,,
25270.jpg,https://storage.yandexcloud.net/plates/25270.jpg,У666АО56,0.9997902512550354
52397.jpg,https://storage.yandexcloud.net/plates/52397.jpg,А128ЕР93,0.9992080926895142
54657.jpg,https://storage.yandexcloud.net/plates/54657.jpg,М438ВВ67,0.9999346733093262
21937.jpg,https://storage.yandexcloud.net/plates/21937.jpg,Х236АР163,0.9999349117279052
29507.jpg,https://storage.yandexcloud.net/plates/29507.jpg,Х068УТ199,0.9999356269836426
45157.jpg,https://storage.yandexcloud.net/plates/45157.jpg,С508АН790,0.9999295473098756
32461.jpg,https://storage.yandexcloud.net/plates/32461.jpg,Е002МН126,0.9999343752861024
32456.jpg,https://storage.yandexcloud.net/plates/32456.jpg,Е836ВЕ136,0.9999343156814576
38373.jpg,https://storage.yandexcloud.net/plates/38373.jpg,А676АА10,0.9999344944953918
39218.jpg,https://storage.yandexcloud.net/plates/39218.jpg,Н392ВА774,0.9999343752861024
6250.jpg,https://storage.yandexcloud.net/plates/6250.jpg,ХК63877,0.9998924136161804
33463.jpg,https://storage.yandexcloud.net/plates/33463.jpg,Р949КА27,0.9999348521232604
39856.jpg,https://storage.yandexcloud.net/plates/39856.jpg,Х386СС62,0.9999349117279052
32.jpg,https://storage.yandexcloud.net/plates/32.jpg,А231ХР37,0.9999350309371948
22809.jpg,https://storage.yandexcloud.net/plates/22809.jpg,,
35000.jpg,https://storage.yandexcloud.net/plates/35000.jpg,Е517КХ50,0.999933421611786
24296.jpg,https://storage.yandexcloud.net/plates/24296.jpg,Х689АО777,0.9999338388442992
23416.jpg,https://storage.yandexcloud.net/plates/23416.jpg,В383СК178,0.9999297261238098
12254.jpg,https://storage.yandexcloud.net/plates/12254.jpg,Х213ХХ36,0.9999344944953918
2975.jpg,https://storage.yandexcloud.net/plates/2975.jpg,Н773ВО65,0.9786521196365356
56089.jpg,https://storage.yandexcloud.net/plates/56089.jpg,М555ВМ30,0.9998575448989868
18849.jpg,https://storage.yandexcloud.net/plates/18849.jpg,А682КО126,0.9999347925186156
10199.jpg,https://storage.yandexcloud.net/plates/10199.jpg,Т773УА54,0.9999348521232604
12974.jpg,https://storage.yandexcloud.net/plates/12974.jpg,М555ВЕ32,0.9999114274978638
14345.jpg,https://storage.yandexcloud.net/plates/14345.jpg,Е474ЕУ125,0.9976946711540222
25541.jpg,https://storage.yandexcloud.net/plates/25541.jpg,Р596ОВ163,0.9999350905418396
5715.jpg,https://storage.yandexcloud.net/plates/5715.jpg,А200ТА152,0.9999351501464844
7385.jpg,https://storage.yandexcloud.net/plates/7385.jpg,С457АВ57,0.9999344944953918
59950.jpg,https://storage.yandexcloud.net/plates/59950.jpg,Х181СС178,0.9999346733093262
64369.jpg,https://storage.yandexcloud.net/plates/64369.jpg,У373ВМ12,0.9999346137046814
7935.jpg,https://storage.yandexcloud.net/plates/7935.jpg,,
7441.jpg,https://storage.yandexcloud.net/plates/7441.jpg,,
16928.jpg,https://storage.yandexcloud.net/plates/16928.jpg,,
45612.jpg,https://storage.yandexcloud.net/plates/45612.jpg,К386СК78,0.8663023114204407
60695.jpg,https://storage.yandexcloud.net/plates/60695.jpg,,
23200.jpg,https://storage.yandexcloud.net/plates/23200.jpg,В118СО134,0.988053023815155
14008.jpg,https://storage.yandexcloud.net/plates/14008.jpg,У001ОК96,0.9999322295188904
20806.jpg,https://storage.yandexcloud.net/plates/20806.jpg,О139УН777,0.9999346733093262
38599.jpg,https://storage.yandexcloud.net/plates/38599.jpg,К614НУ60,0.9999343752861024
32127.jpg,https://storage.yandexcloud.net/plates/32127.jpg,А729СЕ124,0.6592639684677124
28152.jpg,https://storage.yandexcloud.net/plates/28152.jpg,М711ВВ67,0.9999333620071412
50258.jpg,https://storage.yandexcloud.net/plates/50258.jpg,Е666РР123,0.9998186826705932
12080.jpg,https://storage.yandexcloud.net/plates/12080.jpg,Т973АР193,0.9996833205223083
41171.jpg,https://storage.yandexcloud.net/plates/41171.jpg,Р894КР125,0.9999353289604188
41890.jpg,https://storage.yandexcloud.net/plates/41890.jpg,3АТМ,0.717876672744751
42793.jpg,https://storage.yandexcloud.net/plates/42793.jpg,Т575НА799,0.9995862245559692
10974.jpg,https://storage.yandexcloud.net/plates/10974.jpg,А828СО32,0.9998853802680968
33455.jpg,https://storage.yandexcloud.net/plates/33455.jpg,А693НТ177,0.9999350905418396
62258.jpg,https://storage.yandexcloud.net/plates/62258.jpg,,
874.jpg,https://storage.yandexcloud.net/plates/874.jpg,С921СС36,0.9999344348907472
4563.jpg,https://storage.yandexcloud.net/plates/4563.jpg,Р277ОО777,0.9998469352722168
58153.jpg,https://storage.yandexcloud.net/plates/58153.jpg,М100СК65,0.9999287128448486
44611.jpg,https://storage.yandexcloud.net/plates/44611.jpg,,
8887.jpg,https://storage.yandexcloud.net/plates/8887.jpg,Т005ВМ174,0.9999349117279052
49250.jpg,https://storage.yandexcloud.net/plates/49250.jpg,А697ТС116,0.9999301433563232
55062.jpg,https://storage.yandexcloud.net/plates/55062.jpg,К777ТМ39,0.9999346137046814
51531.jpg,https://storage.yandexcloud.net/plates/51531.jpg,К439АК134,0.999934732913971
29879.jpg,https://storage.yandexcloud.net/plates/29879.jpg,Е222СВ46,0.99992573261261
5075.jpg,https://storage.yandexcloud.net/plates/5075.jpg,Х999ВН21,0.9999343752861024
31298.jpg,https://storage.yandexcloud.net/plates/31298.jpg,М020МВ102,0.999930500984192
13824.jpg,https://storage.yandexcloud.net/plates/13824.jpg,Е715МС763,0.9999345541000366
50951.jpg,https://storage.yandexcloud.net/plates/50951.jpg,О824КО174,0.9999350905418396
33962.jpg,https://storage.yandexcloud.net/plates/33962.jpg,О777ТУ178,0.9999348521232604
64352.jpg,https://storage.yandexcloud.net/plates/64352.jpg,Т154УУ98,0.9999308586120604
21109.jpg,https://storage.yandexcloud.net/plates/21109.jpg,Н720ТМ32,0.9999346733093262
7027.jpg,https://storage.yandexcloud.net/plates/7027.jpg,Х172ВА777,0.998712122440338
52064.jpg,https://storage.yandexcloud.net/plates/52064.jpg,Р220МВ34,0.9999350905418396
20950.jpg,https://storage.yandexcloud.net/plates/20950.jpg,,
50380.jpg,https://storage.yandexcloud.net/plates/50380.jpg,Н777АК199,0.9999350905418396
41828.jpg,https://storage.yandexcloud.net/plates/41828.jpg,У428СУ799,0.9999344944953918
58471.jpg,https://storage.yandexcloud.net/plates/58471.jpg,Х444ВМ56,0.999912977218628
12182.jpg,https://storage.yandexcloud.net/plates/12182.jpg,А888ОР152,0.9999350309371948
